PERIODO,VALOR,TIPO DATO,NOTA
2006M06,81,374,Definitivo,
2006M05,81,251,Definitivo,
2006M04,80,959,Definitivo,
2006M03,79,833,Definitivo,
2006M02,79,272,Definitivo,
2006M01,79,234,Definitivo,
2005M12,79,557,Definitivo,
2005M11,79,386,Definitivo,
2005M10,79,266,Definitivo,
2005M09,78,627,Definitivo,
2005M08,78,147,Definitivo,
2005M07,77,805,Definitivo,
2005M06,78,284,Definitivo,
2005M05,78,102,Definitivo,
2005M04,77,953,Definitivo,
2005M03,76,846,Definitivo,
2005M02,76,243,Definitivo,
2005M01,76,046,Definitivo,
2004M12,76,692,Definitivo,
2004M11,76,767,Definitivo,
2004M10,76,575,Definitivo,
2004M09,75,796,Definitivo,
2004M08,75,661,Definitivo,
2004M07,75,328,Definitivo,
2004M06,75,904,Definitivo,
2004M05,75,784,Definitivo,
2004M04,75,340,Definitivo,
2004M03,74,322,Definitivo,
2004M02,73,807,Definitivo,
2004M01,73,773,Definitivo,
2003M12,74,294,Definitivo,
2003M11,74,167,Definitivo,
2003M10,73,926,Definitivo,
2003M09,73,431,Definitivo,
2003M08,73,213,Definitivo,
2003M07,72,878,Definitivo,
2003M06,73,338,Definitivo,
2003M05,73,289,Definitivo,
2003M04,73,357,Definitivo,
2003M03,72,765,Definitivo,
2003M02,72,264,Definitivo,
2003M01,72,111,Definitivo,
2002M12,72,409,Definitivo,
2002M11,72,169,Definitivo,
2002M10,72,058,Definitivo,
2002M09,71,351,Definitivo,
2002M08,71,085,Definitivo,
2002M07,70,882,Definitivo,
2002M06,71,377,Definitivo,
2002M05,71,374,Definitivo,
2002M04,71,118,Definitivo,
2002M03,70,165,Definitivo,
2002M02,69,590,Definitivo,
2002M01,69,530,Definitivo,
