Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
Febrero 2007	1.984 €/m2	+ 0,2 %	- 0,1 %	+ 0,6 %
Enero 2007	1.980 €/m2	- 0,3 %	+ 0,2 %	+ 0,2 %
Diciembre 2006	1.986 €/m2	0,0 %	+ 0,6 %	n.d.
Noviembre 2006	1.986 €/m2	+ 0,5 %	+ 1,3 %	n.d.
Octubre 2006	1.976 €/m2	+ 0,1 %	+ 0,8 %	n.d.
Septiembre 2006	1.974 €/m2	+ 0,8 %	+ 1,1 %	n.d.
Agosto 2006	1.960 €/m2	- 0,1 %	+ 1,2 %	n.d.
Julio 2006	1.961 €/m2	+ 0,4 %	+ 1,4 %	n.d.
Junio 2006	1.953 €/m2	+ 0,9 %	+ 0,1 %	n.d.
Mayo 2006	1.937 €/m2	+ 0,2 %	- 1,8 %	n.d.
Abril 2006	1.934 €/m2	- 0,9 %	- 2,1 %	n.d.
Marzo 2006	1.951 €/m2	- 1,1 %	n.d.	n.d.
Febrero 2006	1.972 €/m2	- 0,2 %	n.d.	n.d.
Enero 2006	1.975 €/m2	n.d.	n.d.	n.d.
